episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-499.5,-499.5,-499.5,1000.0,1,1,4200,4200,False,1,1,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-33-26,1621542806,24.047135591506958,24.047135591506958,1325,MSI,192.168.1.14,24.047135591506958,0,1,90cc5_00000,[-499.5],[1000],0.35112318497508976,0.6956650375459407,0.041889654537626664,1.4096546808525563,0.0,4965.298,845.871,19076.83,220.162,1.092,4200,4200,4200,22.205714285714283,65.72,0.0,0.2,0.0001,490.31166955196494,0.0004768714195851124,490.3108363296046,-0.00023866422,0.0018042481052830365,0.14716959789846884,0.0
0.0,-2000.0,-749.875,1000.0,3,1,9000,9000,False,4,2,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-33-53,1621542833,26.879622220993042,50.9267578125,1325,MSI,192.168.1.14,50.9267578125,0,2,90cc5_00000,"[-2000.0, -500.0, 0.0, -499.5]","[1000, 1000, 1000, 1000]",0.31672043492414675,0.6921940399097877,0.04058432263219458,1.3720470739194797,0.0,5481.697,820.914,19965.062,225.394,1.235,9000,9000,9000,21.87105263157895,66.94473684210527,0.0,0.10000000000000002,9.999999999999998e-05,88.54032054700349,-0.12118554723105933,88.6436646110133,0.6586433,0.17841426165480362,0.37075543325198324,0.0
0.0,-2000.0,-599.9,1000.0,1,1,13000,13000,False,5,3,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-34-14,1621542854,21.411634922027588,72.33839273452759,1325,MSI,192.168.1.14,72.33839273452759,0,3,90cc5_00000,"[0.0, -499.5, -2000.0, -500.0, 0.0]","[1000, 1000, 1000, 1000, 1000]",0.32473443273715275,0.6942650690320645,0.041214907529445136,1.376481931861239,0.0,4564.24,949.41,19528.563,221.897,1.173,13000,13000,13000,21.603225806451615,67.03870967741936,0.0,0.15000000000000002,0.0001,2.190090838819742,0.0018513984250603244,2.188228026032448,0.0,7.603579491899382e-05,0.00449200214643497,0.0
0.0,-2000.0,-499.75,1000.0,3,1,17600,17600,False,8,4,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-34-43,1621542883,28.880480527877808,101.2188732624054,1325,MSI,192.168.1.14,101.2188732624054,0,4,90cc5_00000,"[-498.5, -500.0, 0.0, -499.5, -2000.0, -500.0, 0.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.311998772124764,0.6922655019530611,0.040668793676941296,1.3742294080411348,0.0,5425.825,810.937,19857.925,221.574,1.143,17600,17600,17600,21.000000000000004,67.0390243902439,0.0,0.07500000000000002,9.999999999999999e-05,108.0070677863227,-0.09498005096490185,108.07882012261285,0.6912023,0.30971022405558163,0.9447957277297974,0.0
0.0,-2000.0,-666.4444444444445,1000.0,1,1,21800,21800,False,9,5,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-35-06,1621542906,22.787287950515747,124.00616121292114,1325,MSI,192.168.1.14,124.00616121292114,0,5,90cc5_00000,"[-2000.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.3099061261093875,0.6927029091568833,0.04075373385542856,1.375845324167124,0.0,5039.678,865.135,19739.807,220.873,1.168,21800,21800,21800,21.406060606060606,66.79999999999998,0.0,0.11250000000000002,0.0001,91.61877915353486,-0.0567724442561016,91.65293676202947,-0.09429552,0.2010118622671474,1.047148473335035,0.0
0.0,-2000.0,-746.25,1000.0,1,1,26000,26000,False,10,6,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-35-28,1621542928,22.43258833885193,146.43874955177307,1325,MSI,192.168.1.14,146.43874955177307,0,6,90cc5_00000,"[-1464.5, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.30936946910496743,0.6937730935274437,0.040983213588416584,1.3788094257465076,0.0,4720.391,918.003,19663.99,220.369,1.16,26000,26000,26000,21.3,67.234375,0.0,0.16875,0.0001,63.31896163478042,-0.0893232123079625,63.38727280587861,0.678929,0.12450552189891989,0.5629574186874159,0.0
0.0,-2000.0,-704.0,1000.0,2,1,30000,30000,False,12,7,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-35-53,1621542953,24.16375732421875,170.60250687599182,1325,MSI,192.168.1.14,170.60250687599182,0,7,90cc5_00000,"[0.0, -985.5, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.30834400429247394,0.6962028431712213,0.04142456385230108,1.3839623217980466,0.0,4599.043,931.871,19750.618,216.991,1.146,30000,30000,30000,26.338235294117652,67.40294117647058,0.0,0.25312500000000004,0.0001,42.84865552186966,-0.096341400698293,42.90331566333771,0.889964,0.1646669558249414,0.9516250398010015,0.0
0.0,-2000.0,-803.6923076923077,1000.0,1,1,34000,34000,False,13,8,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-36-17,1621542977,24.78021240234375,195.38271927833557,1325,MSI,192.168.1.14,195.38271927833557,0,8,90cc5_00000,"[-2000.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.30863182861859245,0.698083685794675,0.041710675842008035,1.3877493394036036,0.0,4446.284,955.854,19954.251,212.987,1.144,34000,34000,34000,31.474999999999998,68.58055555555556,0.0,0.37968750000000007,0.0001,92.75673913955688,0.0026357765891589224,92.75102019309998,-1.8626451e-09,0.00812033851252636,0.6901072692126036,0.0
0.0,-2000.0,-853.4285714285714,1000.0,1,1,38200,38200,False,14,9,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-36-43,1621543003,25.028238534927368,220.41095781326294,1325,MSI,192.168.1.14,220.41095781326294,0,9,90cc5_00000,"[-1500.0, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.30811792957962597,0.7000206552867129,0.04198162762337387,1.3912458096951557,0.0,4432.876,957.492,20034.359,211.858,1.128,38200,38200,38200,24.883333333333333,67.93333333333331,0.0,0.37968750000000007,0.0001,60.08595587990501,4.0614130822095e-07,60.0837148030599,0.0016358766,0.005901210179383104,0.32375321650143823,0.0
0.0,-2000.0,-818.6176470588235,1000.0,3,1,42600,42600,False,17,10,9a7a221361f5484091f8ff38d7a15380,2021-05-20_22-37-10,1621543030,27.565701961517334,247.97665977478027,1325,MSI,192.168.1.14,247.97665977478027,0,10,90cc5_00000,"[-997.0, -500.0, -471.5, -499.5, -2000.0, -500.0, 0.0, 0.0, -498.5, -500.0, 0.0, -2000.0, -1464.5, 0.0, -985.5, -2000.0, -1500.0]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",0.3043464006335441,0.7044327870135848,0.04242346835633665,1.397537946391063,0.0,4636.147,918.866,20138.438,211.536,1.148,42600,42600,42600,21.96666666666666,66.34102564102565,0.0,0.3796875,9.999999999999999e-05,61.690841565813336,-0.03205760106710451,61.70116756984166,0.552394,0.05723986726786409,0.5613423730645861,0.0
